Cluster Index	Value	x	y	z	
1	18.1	135	58	183
1	18.1	73	155	105
1	18.1	70	162	14
1	18.1	9	94	92
1	18.1	117	176	124
1	18	86	69	169
1	18	70	5	123
1	18	87	14	34
1	18	179	107	137
1	18	188	155	31
1	18	90	194	103
1	18	33	116	141
1	18	173	185	102
1	18	146	110	101
1	18	60	24	49
1	18	27	149	181
1	18	78	126	132
1	18	187	157	43
1	18	22	92	53
1	18	139	28	175
1	18	12	107	68
1	18	81	159	187
1	18	160	152	190
1	18	191	100	121
1	18	100	104	72
1	18	114	31	113
1	18	4	34	67
1	18	71	131	161
1	18	111	88	136
1	18	82	92	179
1	18	90	137	191
1	18	117	101	27
1	18	111	113	84
1	18	5	81	120
1	18	178	33	105
1	18	34	69	94
1	18	41	60	50
1	18	144	14	65
1	18	85	117	182
1	18	192	10	103
1	18	36	79	96
1	18	159	157	46
1	18	133	121	158
1	18	119	23	167
1	18	159	139	20
1	17.9	175	47	82
1	17.9	194	109	80
1	17.9	70	64	8
1	17.9	69	95	86
1	17.9	48	141	60
1	17.9	115	6	49
1	17.9	59	139	154
1	17.9	195	107	119
1	17.9	151	118	112
1	17.9	41	176	110
1	17.9	75	27	192
1	17.9	111	131	124
1	17.9	60	115	84
1	17.9	24	155	180
1	17.9	193	14	138
1	17.9	10	120	166
1	17.9	35	132	141
1	17.9	23	167	21
1	17.9	184	189	12
1	17.9	121	99	164
1	17.9	17	93	89
1	17.9	145	14	156
1	17.9	186	189	107
1	17.9	147	44	103
1	17.9	192	42	147
1	17.9	94	190	181
1	17.9	159	183	140
1	17.9	165	13	74
1	17.9	10	19	181
1	17.9	43	77	28
1	17.9	48	147	111
1	17.9	47	172	122
1	17.9	132	25	129
1	17.9	191	53	114
1	17.9	114	90	130
1	17.9	163	137	163
1	17.9	98	160	16
1	17.8	38	55	73
1	17.8	135	131	57
1	17.8	66	9	33
1	17.8	183	87	147
1	17.8	47	111	158
1	17.8	116	54	42
1	17.8	33	120	69
1	17.8	162	53	48
1	17.8	69	105	91
1	17.8	141	151	106
1	17.8	191	192	111
1	17.8	59	95	124
1	17.8	77	141	156
1	17.8	123	53	122
1	17.8	70	16	70
1	17.8	184	191	23
1	17.8	142	7	52
1	17.8	50	56	24
1	17.8	22	116	110
1	17.8	50	107	22
1	17.8	24	86	124
1	17.8	180	175	50
1	17.8	89	37	124
1	17.8	119	80	66
1	17.8	167	66	106
1	17.8	138	101	161
1	17.8	99	89	64
1	17.8	36	93	134
1	17.8	120	188	81
1	17.8	22	131	42
1	17.8	149	4	98
1	17.8	94	27	77
1	17.8	124	57	179
1	17.8	20	101	156
1	17.8	60	10	174
1	17.8	53	150	134
1	17.8	57	82	7
1	17.8	157	4	134
1	17.8	80	19	85
